property_name,property_id,breadcrumbs,price,image_url,description,seller_name,location,property_type,bathrooms,bedrooms
"House for rent ,kannanchery,  kozhikode",1784424638,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Kannanchery,House for rent ,kannanchery,  kozhikode","{'amount': '12', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/d24lznhzpks8-IN/image;s=850x0,(2Km from lulu mall kozhikode),,"Kannanchery, Kozhikode, Kerala",Apartments,,
3 BHK Branded flat for rent & sale available in Calicut,1784419581,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in West Hill,3 BHK Branded flat for rent & sale available in Calicut","{'amount': '35', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/5k66wd6cwn6y2-IN/image;s=850x0,Branded flat for rent & sale available in Calicut,,"West Hill, Kozhikode, Kerala",Apartments,,
,https://www.olx.in/mumbai_g4058997,,"{'amount': '6', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/5m5mbsx716z91-IN/image;s=272x0,,,,Apartments,,
2BHK Branded flat for rent & sale available in Calicut,1784423844,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Calicut Beach,2BHK Branded flat for rent & sale available in Calicut","{'amount': '35', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/e17l2iiq9hzc-IN/image;s=850x0,Branded flat for rent & sale available in Calicut,,"Calicut Beach, Kozhikode, Kerala",Apartments,,
Ashokapuram 3BHK- Semi Furnished,1781879344,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Ashokapuram,Ashokapuram 3BHK- Semi Furnished","{'amount': '30', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/nbkyej8x7ul23-IN/image;s=850x0,This 3BHK apartment has all three attached bathrooms.,,"Ashokapuram, Kozhikode, Kerala",Apartments,,
3 BHK Branded flat for rent & sale available in Calicut,1784425223,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Kuthiravattom,3 BHK Branded flat for rent & sale available in Calicut","{'amount': '42', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/e3lynnv1gjxq2-IN/image;s=850x0,Branded flat for rent & sale available in Calicut,,"Kuthiravattom, Kozhikode, Kerala",Apartments,,
2 BHK FURNISHED FLAT RENT NEAR KARAPARAMB,1783575302,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Karaparamba,2 BHK FURNISHED FLAT RENT NEAR KARAPARAMB","{'amount': '22', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/i1sh070jjyxv3-IN/image;s=850x0,Branded flat for rent & sale available in calicut ,,"Karaparamba, Kozhikode, Kerala",Apartments,,
2BHK HOUSE SEMI FURNISHED,1783162399,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,2BHK HOUSE SEMI FURNISHED","{'amount': '18', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/2u9r6hx0ueee1-IN/image;s=850x0,"Upon your inquiry, we present a 2BHK semi-furnished residence located approximately 5 k.m from Thondayad Junction. This accommodation includes two bedrooms, a bathroom, a living room, a balcony, a kitchen, and a designated car parking area. The monthly rent is set at 18,000 INR with a security deposit equivalent to three months' rent. For further information, please do not hesitate to reach out to us at Happy Clients Realtors.",,"Thondayad, Kozhikode, Kerala",Apartments,,
,https://www.olx.in/pune_g4059014,,"{'amount': '10', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/lsmdhjg2xgsm2-IN/image;s=272x0,,,,Apartments,,
2 bhk Upstair Kottuli,1784431298,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,2 bhk Upstair Kottuli","{'amount': '8', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/chaub4uq1t0s1-IN/image;s=850x0,2 bhk upatair for Rent,,"Thondayad, Kozhikode, Kerala",Apartments,,
