property_name,property_id,breadcrumbs,price,image_url,description,seller_name,location,property_type,bedrooms,bathrooms
3bhk Luxury Branded fully furnished flat for rent at Thondayad Bypass,1639839990,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,3bhk Luxury Branded fully furnished flat for rent at Thondayad Bypass","{'amount': '40000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/5481pydgkiba3-IN/image;s=850x0,3bhk fully furnished flat for rent at Thondayad Bypass,FAISAL,"Thondayad, Kozhikode, Kerala",Apartments,3,3
Methottuthazham 3BHK- Semi furnished,1782127566,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Nellikode,Methottuthazham 3BHK- Semi furnished","{'amount': '32000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/nt806ecukfx91-IN/image;s=850x0,"Guys, you won't believe the amazing apartment I found! It's a fabulous place in Methottuthazham with a lovely bedroom complete with a comfy bed and a cool dressing table. The other rooms are awaiting their transformation, but don't worry; there's a cozy sofa and a dining table, and the kitchen is all set! Plus, there's a pool, a gym, security, and even a lift - talk about convenience! This dreamy place is on the 4th floor of an 11-floor building, and to top it off, the rent is just Rs32000 per month, including maintenance. How awesome is that?",Ximple Realty,"Nellikode, Kozhikode, Kerala",Apartments,3,3
Pg for girls,1784684541,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Kovoor,Pg for girls","{'amount': '5500', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/6z0zzsleugnp1-IN/image;s=850x0,Contact for more,Akash lal,"Kovoor, Kozhikode, Kerala",Apartments,0,0
2BHK  SEMI FURNISHED HOUSE CIVIL STATION,1782124117,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Calicut Civil Station,2BHK  SEMI FURNISHED HOUSE CIVIL STATION","{'amount': '12000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/x63xfdr53mlh2-IN/image;s=850x0,"Hey there! Check out this amazing Semi Furnished house at Civil Station, just around 600 meters away. It comes with a bedroom, bathroom, living room, balcony, kitchen, coats, wardrobe, and a dining table. It's perfect for working couples or a small family. The monthly rent is just 12k, and the security deposit is only 3 months! For more information, feel free to contact us. Happy clients Realtors",Happy Clients Realtors,"Calicut Civil Station, Kozhikode, Kerala",Houses & Villas,2,1
Malaparamba 1-BHK Apartment,1783397908,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Malaparamba,Malaparamba 1-BHK Apartment","{'amount': '17500', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/ghkqa895xnfo3-IN/image;s=850x0,This is a 1 BHK fully furnished apartment. It's on the 5th floor of a 10-floor apartment.,Ximple Realty,"Malaparamba, Kozhikode, Kerala",Apartments,1,1
"2Bhk house for rent in pottammal, Kozhikode.",1784677724,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Pottammal,2Bhk house for rent in pottammal, Kozhikode.","{'amount': '16000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/1cagns5nxvgb1-IN/image;s=850x0,"2Bhk house for rent in pottammal, Kozhikode.",Anoop Nair,"Pottammal, Kozhikode, Kerala",Houses & Villas,2,3
3Bhk semi furnished house,1783408222,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Chevarambalam,3Bhk semi furnished house","{'amount': '30000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/9a2ikdunk78b3-IN/image;s=850x0,"3BHK semi-furnished independent villa located at Chevarambalam Junction, 500 meters away. The villa features 3 bedrooms, 2 attached bathrooms, a living room, balcony, dining area, and kitchen. It is ideally suited for working professionals, located in an area with an association, compound wall, shuttle court, and round-the-clock security. The monthly rent is 30k with a security deposit equivalent to 3 months. For further details, please reach out to Happy Clients Realtors.",Happy Clients Realtors,"Chevarambalam, Kozhikode, Kerala",Houses & Villas,3,3
Ashokapuram 3BHK-Semi furnished,1781689182,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Ashokapuram,Ashokapuram 3BHK-Semi furnished","{'amount': '30000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/dqxawzzoapdk1-IN/image;s=850x0,This 3BHK apartment with all three attached bathroom.,Ximple Realty,"Ashokapuram, Kozhikode, Kerala",Apartments,3,3
Chevayoor 3BHK Semi Furnished house,1781715033,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Chevayoor,Chevayoor 3BHK Semi Furnished house","{'amount': '22000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/ddxv8tu1f2n5-IN/image;s=850x0,"This attractive 3BHK semi-furnished house is now available for rent at Chevalier Junction. Situated on the first floor of a well-constructed 3-floor building, it boasts 3 bedrooms, a spacious living room, and 2 bathrooms. The monthly rental rate is 22k.  for further information. Happy Clients Realtors are at your service.",Happy Clients Realtors,"Chevayoor, Kozhikode, Kerala",Houses & Villas,3,2
Two BHk at Thiruvannur.,1784699013,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Chalappuram,Two BHk at Thiruvannur.","{'amount': '8500', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/sgxc0l74gzn73-IN/image;s=850x0,Serene Village Atmosphere near mini by pass Calicut town.,OLX User,"Chalappuram, Kozhikode, Kerala",Houses & Villas,2,1
